:START_ID(Order),:END_ID(Product),:TYPE,UnitPrice,Quantity,Discount
1,2,CONTAINS,2462.14,10,0.2
1,4,CONTAINS,1791.28,7,0.05
1,6,CONTAINS,384.34,18,0.05
1,7,CONTAINS,8756.28,20,0.15
1,9,CONTAINS,582.87,7,0.0
2,1,CONTAINS,716.39,5,0.0
2,3,CONTAINS,2787.48,16,0.1
2,4,CONTAINS,1863.13,17,0.0
2,7,CONTAINS,9450.12,20,0.05
2,9,CONTAINS,571.81,10,0.0
3,10,CONTAINS,8631.67,15,0.1
4,1,CONTAINS,744.34,4,0.15
4,6,CONTAINS,402.8,4,0.1
4,8,CONTAINS,3852.49,1,0.1
4,9,CONTAINS,615.76,13,0.05
4,10,CONTAINS,8418.7,5,0.15
5,6,CONTAINS,388.2,14,0.05
6,7,CONTAINS,9378.7,18,0.1
6,9,CONTAINS,607.58,11,0.1
7,6,CONTAINS,382.33,3,0.15
7,8,CONTAINS,3850.62,9,0.1
8,1,CONTAINS,743.93,12,0.05
8,8,CONTAINS,3605.52,13,0.1
9,1,CONTAINS,735.1,3,0.05
9,3,CONTAINS,2572.92,4,0.0
9,8,CONTAINS,3693.9,2,0.05
10,2,CONTAINS,2282.88,14,0.1
10,3,CONTAINS,2647.9,20,0.0
10,10,CONTAINS,8081.45,16,0.2
11,2,CONTAINS,2262.4,17,0.05
11,3,CONTAINS,2707.48,15,0.1
11,9,CONTAINS,587.04,13,0.1
11,10,CONTAINS,8067.81,7,0.1
12,2,CONTAINS,2360.94,2,0.2
12,4,CONTAINS,1824.63,12,0.2
12,8,CONTAINS,3763.99,10,0.0
12,9,CONTAINS,572.36,12,0.1
13,4,CONTAINS,1784.97,13,0.1
13,10,CONTAINS,8401.77,20,0.0
14,2,CONTAINS,2393.5,16,0.2
14,3,CONTAINS,2796.63,8,0.0
14,8,CONTAINS,3868.08,1,0.1
14,9,CONTAINS,602.38,9,0.05
14,10,CONTAINS,7883.44,8,0.05
15,3,CONTAINS,2750.73,13,0.0
16,1,CONTAINS,743.08,4,0.1
16,10,CONTAINS,8514.88,14,0.15
17,7,CONTAINS,9112.76,19,0.1
17,8,CONTAINS,3574.43,15,0.05
17,9,CONTAINS,587.53,17,0.15
17,10,CONTAINS,8148.85,11,0.15
18,1,CONTAINS,741.78,18,0.15
18,4,CONTAINS,1850.5,3,0.1
19,1,CONTAINS,734.43,5,0.2
19,3,CONTAINS,2594.76,1,0.0
19,10,CONTAINS,8514.22,17,0.2
20,9,CONTAINS,616.19,6,0.05
21,1,CONTAINS,748.06,13,0.15
21,2,CONTAINS,2343.81,8,0.0
21,9,CONTAINS,569.56,11,0.05
21,10,CONTAINS,7961.94,15,0.05
22,1,CONTAINS,758.61,18,0.2
22,4,CONTAINS,1858.17,7,0.1
22,7,CONTAINS,9440.09,13,0.0
22,9,CONTAINS,613.19,7,0.2
22,10,CONTAINS,8525.81,1,0.1
23,1,CONTAINS,760.31,8,0.0
23,2,CONTAINS,2290.14,9,0.1
23,3,CONTAINS,2765.18,2,0.2
23,7,CONTAINS,9607.2,20,0.0
24,3,CONTAINS,2783.21,20,0.15
24,6,CONTAINS,394.68,16,0.1
25,3,CONTAINS,2638.21,8,0.05
26,4,CONTAINS,1806.25,13,0.15
26,6,CONTAINS,405.72,15,0.2
26,7,CONTAINS,9458.45,8,0.15
26,8,CONTAINS,3803.32,14,0.15
26,10,CONTAINS,7949.78,19,0.2
27,2,CONTAINS,2279.77,3,0.1
27,10,CONTAINS,8448.65,3,0.05
28,1,CONTAINS,746.87,10,0.05
28,2,CONTAINS,2333.45,6,0.15
28,3,CONTAINS,2615.66,20,0.0
28,7,CONTAINS,8830.01,17,0.15
28,9,CONTAINS,594.07,3,0.1
29,2,CONTAINS,2352.76,19,0.0
29,3,CONTAINS,2640.89,11,0.1
29,4,CONTAINS,1819.62,5,0.2
29,6,CONTAINS,383.94,5,0.1
30,3,CONTAINS,2772.05,2,0.2
30,6,CONTAINS,407.76,6,0.1
30,7,CONTAINS,9343.92,7,0.2
30,9,CONTAINS,597.82,1,0.2
31,4,CONTAINS,1765.2,8,0.1
31,6,CONTAINS,400.37,8,0.0
31,7,CONTAINS,9307.85,5,0.05
31,8,CONTAINS,3871.26,1,0.1
32,2,CONTAINS,2445.13,14,0.2
32,3,CONTAINS,2767.8,7,0.0
32,4,CONTAINS,1808.04,14,0.2
32,8,CONTAINS,3838.56,20,0.2
33,6,CONTAINS,373.26,4,0.1
33,7,CONTAINS,9658.92,11,0.05
33,8,CONTAINS,3623.75,9,0.0
33,9,CONTAINS,580.43,9,0.0
34,6,CONTAINS,411.24,20,0.1
35,1,CONTAINS,761.39,2,0.05
35,2,CONTAINS,2405.83,18,0.2
35,3,CONTAINS,2663.63,15,0.15
35,7,CONTAINS,9469.31,16,0.1
35,8,CONTAINS,3804.14,9,0.1
36,7,CONTAINS,8894.68,9,0.2
