OrderID,ProductID,UnitPrice,Quantity,Discount,ProductName,QuantityPerUnit
1,2,2462.14,10,0.2,海尔智慧家庭 智能插座 Ultra,1台/件
1,4,1791.28,7,0.05,苹果 智能空气净化器 Mini,5个/套
1,6,384.34,18,0.05,谷歌 智能体重秤 Pro,1台/箱
1,7,8756.28,20,0.15,小米 智能摄像头 Plus,1台/箱
1,9,582.87,7,0.0,LG 智能灯具 Advanced,1台/件
2,1,716.39,5,0.0,亚马逊 智能洗衣机 Lite,3个/套
2,3,2787.48,16,0.1,索尼 智能空气净化器 Standard,1套/箱
2,4,1863.13,17,0.0,苹果 智能空气净化器 Mini,5个/套
2,7,9450.12,20,0.05,小米 智能摄像头 Plus,1台/箱
2,9,571.81,10,0.0,LG 智能灯具 Advanced,1台/件
3,10,8631.67,15,0.1,西门子 智能冰箱 Elite,1个/件
4,1,744.34,4,0.15,亚马逊 智能洗衣机 Lite,3个/套
4,6,402.8,4,0.1,谷歌 智能体重秤 Pro,1台/箱
4,8,3852.49,1,0.1,华为 智能加湿器 Elite,1套/箱
4,9,615.76,13,0.05,LG 智能灯具 Advanced,1台/件
4,10,8418.7,5,0.15,西门子 智能冰箱 Elite,1个/件
5,6,388.2,14,0.05,谷歌 智能体重秤 Pro,1台/箱
6,7,9378.7,18,0.1,小米 智能摄像头 Plus,1台/箱
6,9,607.58,11,0.1,LG 智能灯具 Advanced,1台/件
7,6,382.33,3,0.15,谷歌 智能体重秤 Pro,1台/箱
7,8,3850.62,9,0.1,华为 智能加湿器 Elite,1套/箱
8,1,743.93,12,0.05,亚马逊 智能洗衣机 Lite,3个/套
8,8,3605.52,13,0.1,华为 智能加湿器 Elite,1套/箱
9,1,735.1,3,0.05,亚马逊 智能洗衣机 Lite,3个/套
9,3,2572.92,4,0.0,索尼 智能空气净化器 Standard,1套/箱
9,8,3693.9,2,0.05,华为 智能加湿器 Elite,1套/箱
10,2,2282.88,14,0.1,海尔智慧家庭 智能插座 Ultra,1台/件
10,3,2647.9,20,0.0,索尼 智能空气净化器 Standard,1套/箱
10,10,8081.45,16,0.2,西门子 智能冰箱 Elite,1个/件
11,2,2262.4,17,0.05,海尔智慧家庭 智能插座 Ultra,1台/件
11,3,2707.48,15,0.1,索尼 智能空气净化器 Standard,1套/箱
11,9,587.04,13,0.1,LG 智能灯具 Advanced,1台/件
11,10,8067.81,7,0.1,西门子 智能冰箱 Elite,1个/件
12,2,2360.94,2,0.2,海尔智慧家庭 智能插座 Ultra,1台/件
12,4,1824.63,12,0.2,苹果 智能空气净化器 Mini,5个/套
12,8,3763.99,10,0.0,华为 智能加湿器 Elite,1套/箱
12,9,572.36,12,0.1,LG 智能灯具 Advanced,1台/件
13,4,1784.97,13,0.1,苹果 智能空气净化器 Mini,5个/套
13,10,8401.77,20,0.0,西门子 智能冰箱 Elite,1个/件
14,2,2393.5,16,0.2,海尔智慧家庭 智能插座 Ultra,1台/件
14,3,2796.63,8,0.0,索尼 智能空气净化器 Standard,1套/箱
14,8,3868.08,1,0.1,华为 智能加湿器 Elite,1套/箱
14,9,602.38,9,0.05,LG 智能灯具 Advanced,1台/件
14,10,7883.44,8,0.05,西门子 智能冰箱 Elite,1个/件
15,3,2750.73,13,0.0,索尼 智能空气净化器 Standard,1套/箱
16,1,743.08,4,0.1,亚马逊 智能洗衣机 Lite,3个/套
16,10,8514.88,14,0.15,西门子 智能冰箱 Elite,1个/件
17,7,9112.76,19,0.1,小米 智能摄像头 Plus,1台/箱
17,8,3574.43,15,0.05,华为 智能加湿器 Elite,1套/箱
17,9,587.53,17,0.15,LG 智能灯具 Advanced,1台/件
17,10,8148.85,11,0.15,西门子 智能冰箱 Elite,1个/件
18,1,741.78,18,0.15,亚马逊 智能洗衣机 Lite,3个/套
18,4,1850.5,3,0.1,苹果 智能空气净化器 Mini,5个/套
19,1,734.43,5,0.2,亚马逊 智能洗衣机 Lite,3个/套
19,3,2594.76,1,0.0,索尼 智能空气净化器 Standard,1套/箱
19,10,8514.22,17,0.2,西门子 智能冰箱 Elite,1个/件
20,9,616.19,6,0.05,LG 智能灯具 Advanced,1台/件
21,1,748.06,13,0.15,亚马逊 智能洗衣机 Lite,3个/套
21,2,2343.81,8,0.0,海尔智慧家庭 智能插座 Ultra,1台/件
21,9,569.56,11,0.05,LG 智能灯具 Advanced,1台/件
21,10,7961.94,15,0.05,西门子 智能冰箱 Elite,1个/件
22,1,758.61,18,0.2,亚马逊 智能洗衣机 Lite,3个/套
22,4,1858.17,7,0.1,苹果 智能空气净化器 Mini,5个/套
22,7,9440.09,13,0.0,小米 智能摄像头 Plus,1台/箱
22,9,613.19,7,0.2,LG 智能灯具 Advanced,1台/件
22,10,8525.81,1,0.1,西门子 智能冰箱 Elite,1个/件
23,1,760.31,8,0.0,亚马逊 智能洗衣机 Lite,3个/套
23,2,2290.14,9,0.1,海尔智慧家庭 智能插座 Ultra,1台/件
23,3,2765.18,2,0.2,索尼 智能空气净化器 Standard,1套/箱
23,7,9607.2,20,0.0,小米 智能摄像头 Plus,1台/箱
24,3,2783.21,20,0.15,索尼 智能空气净化器 Standard,1套/箱
24,6,394.68,16,0.1,谷歌 智能体重秤 Pro,1台/箱
25,3,2638.21,8,0.05,索尼 智能空气净化器 Standard,1套/箱
26,4,1806.25,13,0.15,苹果 智能空气净化器 Mini,5个/套
26,6,405.72,15,0.2,谷歌 智能体重秤 Pro,1台/箱
26,7,9458.45,8,0.15,小米 智能摄像头 Plus,1台/箱
26,8,3803.32,14,0.15,华为 智能加湿器 Elite,1套/箱
26,10,7949.78,19,0.2,西门子 智能冰箱 Elite,1个/件
27,2,2279.77,3,0.1,海尔智慧家庭 智能插座 Ultra,1台/件
27,10,8448.65,3,0.05,西门子 智能冰箱 Elite,1个/件
28,1,746.87,10,0.05,亚马逊 智能洗衣机 Lite,3个/套
28,2,2333.45,6,0.15,海尔智慧家庭 智能插座 Ultra,1台/件
28,3,2615.66,20,0.0,索尼 智能空气净化器 Standard,1套/箱
28,7,8830.01,17,0.15,小米 智能摄像头 Plus,1台/箱
28,9,594.07,3,0.1,LG 智能灯具 Advanced,1台/件
29,2,2352.76,19,0.0,海尔智慧家庭 智能插座 Ultra,1台/件
29,3,2640.89,11,0.1,索尼 智能空气净化器 Standard,1套/箱
29,4,1819.62,5,0.2,苹果 智能空气净化器 Mini,5个/套
29,6,383.94,5,0.1,谷歌 智能体重秤 Pro,1台/箱
30,3,2772.05,2,0.2,索尼 智能空气净化器 Standard,1套/箱
30,6,407.76,6,0.1,谷歌 智能体重秤 Pro,1台/箱
30,7,9343.92,7,0.2,小米 智能摄像头 Plus,1台/箱
30,9,597.82,1,0.2,LG 智能灯具 Advanced,1台/件
31,4,1765.2,8,0.1,苹果 智能空气净化器 Mini,5个/套
31,6,400.37,8,0.0,谷歌 智能体重秤 Pro,1台/箱
31,7,9307.85,5,0.05,小米 智能摄像头 Plus,1台/箱
31,8,3871.26,1,0.1,华为 智能加湿器 Elite,1套/箱
32,2,2445.13,14,0.2,海尔智慧家庭 智能插座 Ultra,1台/件
32,3,2767.8,7,0.0,索尼 智能空气净化器 Standard,1套/箱
32,4,1808.04,14,0.2,苹果 智能空气净化器 Mini,5个/套
32,8,3838.56,20,0.2,华为 智能加湿器 Elite,1套/箱
33,6,373.26,4,0.1,谷歌 智能体重秤 Pro,1台/箱
33,7,9658.92,11,0.05,小米 智能摄像头 Plus,1台/箱
33,8,3623.75,9,0.0,华为 智能加湿器 Elite,1套/箱
33,9,580.43,9,0.0,LG 智能灯具 Advanced,1台/件
34,6,411.24,20,0.1,谷歌 智能体重秤 Pro,1台/箱
35,1,761.39,2,0.05,亚马逊 智能洗衣机 Lite,3个/套
35,2,2405.83,18,0.2,海尔智慧家庭 智能插座 Ultra,1台/件
35,3,2663.63,15,0.15,索尼 智能空气净化器 Standard,1套/箱
35,7,9469.31,16,0.1,小米 智能摄像头 Plus,1台/箱
35,8,3804.14,9,0.1,华为 智能加湿器 Elite,1套/箱
36,7,8894.68,9,0.2,小米 智能摄像头 Plus,1台/箱
36,9,605.26,18,0.2,LG 智能灯具 Advanced,1台/件
36,10,7953.07,13,0.05,西门子 智能冰箱 Elite,1个/件
37,1,731.79,11,0.2,亚马逊 智能洗衣机 Lite,3个/套
37,2,2417.18,20,0.0,海尔智慧家庭 智能插座 Ultra,1台/件
37,4,1841.58,14,0.0,苹果 智能空气净化器 Mini,5个/套
